address,pointer
0x0000BF00,08007681
0x0000BF43,08007681
0x0000BF59,08006a81
0x0000BF90,08007681
0x0000BFD1,0800c85d
0x0000BFD7,0800c85d
0x0000BFDF,08001f01
0x0000C032,08000700
0x0000C048,08007681
0x0000C09F,08006a81
0x0000C0B9,08000100
0x0000C0CF,08006a81
0x0000C137,08007681
0x0000C147,08020100
0x0000C168,08040301
0x0000C194,08007681
0x0000C1C6,08000201
0x0000C1E2,08040301
0x0000C1F2,08007681
0x0000C204,08000100
0x0000C22C,08007681
0x0000C2E4,08001f01
0x0000C31F,08007681
0x0000C345,08020100
0x0000C3A8,0800c3ac
0x0000C3AC,0800c536
0x0000C3E6,08040301
0x0000C40E,08000100
0x0000C457,08007681
0x0000C512,08020100
0x0000C536,0800c6a1
0x0000C537,080800c6
0x0000C599,08000100
0x0000C5D5,08007681
0x0000C5FF,08007681
0x0000C611,08020201
0x0000C6A6,08000700
0x0000C6F3,08006a81
0x0000C73E,08007681
0x0000C756,08020100
0x0000C791,08020200
0x0000C7BB,08000100
0x0000C7E5,08000201
0x0000C819,08000300
0x0000C865,08020200
0x0000C897,08020101
0x0000C8B9,08020301
0x0000C927,08007681
0x0000C97E,0800c982
0x0000C982,0800c9ef
0x0000C983,080800c9
0x0000C9F0,08000303
0x0000CA20,08006a81
0x0000CA71,08000100
0x0000CACA,08000300
0x0000CB00,08000201
0x0000CB2B,08000300
0x0000CB70,08000201
0x0000CB82,08010100
0x0000CBC6,08007681
0x0000CBE0,08007681
0x0000CBF5,08020100
0x0000CC3D,08020201
0x0000CC4F,08020300
0x0000CC71,08001f01
0x0000CC86,08000100
0x0000CCD9,08020300
0x0000CD2C,08000700
0x0000CD4E,08000100
0x0000CDA1,08000700
0x0000CDE6,08007681
0x0000CE1F,08000100
0x0000CE43,08000700
0x0000CE98,08007681
0x0000CEFD,08020200
0x0000CF13,08000700
0x0000CF62,08010700
0x0000CFAC,08008f1b
0x0000CFE0,08020201
0x0000CFF2,08000101
0x0000D018,08001401
0x0000D05D,08007681
0x0000D0B6,08001f00
0x0000D0C2,08007681
0x0000D148,08000100
0x0000D16A,08020701
0x0000D1E7,08020200
0x0000D228,08007681
0x0000D242,08020700
0x0000D272,08010001
0x0000D280,08007681
0x0000D2D3,08007681
0x0000D2ED,08007681
0x0000D334,08020701
0x0000D368,08007681
0x0000D381,08010001
0x0000D397,08020100
0x0000D3AF,08020300
0x0000D3E1,08020201
0x0000D439,08020700
0x0000D47A,08001401
0x0000D4D3,08004981
0x0000D4EB,08007681
0x0000D532,08007681
0x0000D589,08006a81
0x0000D611,08020100
0x0000D647,08020200
0x0000D659,08020700
0x0000D6BD,0800d6c1
0x0000D6C1,0800d8a6
0x0000D6C2,080800d8
0x0000D70B,08020100
0x0000D72D,08007681
0x0000D73D,08007681
0x0000D76F,08007681
0x0000D7CE,08000201
0x0000D7E4,08001f01
0x0000D831,08007681
0x0000D882,08000201
0x0000D8A6,0800db4b
0x0000D8AB,08020100
0x0000D8F8,08006a81
0x0000D926,08020200
0x0000D96B,08020701
0x0000D9A8,08007681
0x0000D9F9,08007681
0x0000DA4C,08007681
0x0000DA9F,08000100
0x0000DAB1,08000300
0x0000DAD3,08020200
0x0000DB16,08007681
0x0000DB56,08010300
0x0000DB84,08001401
0x0000DBC3,08020700
0x0000DBFE,08007681
0x0000DC0A,08007681
0x0000DC4B,08007681
0x0000DC5F,08007681
0x0000DCA2,08007681
0x0000DD54,08020300
0x0000DD6E,08001f01
0x0000DD84,08020200
0x0000DD92,08007681
0x0000DDCF,08001401
0x0000DE0E,08020700
0x0000DE26,08007681
0x0000DE99,08004981
0x0000DEE0,08007681
0x0000DF12,08010001
0x0000DF28,08007681
0x0000DF63,08007681
0x0000DFAB,08010001
0x0000DFBF,08010300
0x0000DFD9,08000100
0x0000E058,08020100
0x0000E068,08020300
0x0000E078,08020200
0x0000E088,08020700
0x0000E0AA,08006a81
0x0000E10B,08007681
0x0000E156,08000300
0x0000E166,08007681
0x0000E1C1,08020700
0x0000E220,08020100
0x0000E257,08007681
0x0000E265,08020700
0x0000E293,08020100
0x0000E2B9,08007681
0x0000E310,08007681
0x0000E332,08020700
0x0000E377,08007681
0x0000E3C6,08020100
0x0000E3E6,08007681
0x0000E423,08007681
0x0000E47E,08020101
0x0000E4A0,08020700
0x0000E4B6,08000700
0x0000E517,08001f01
0x0000E59C,08007681
0x0000E5B5,08020301
0x0000E5E9,08020101
0x0000E615,08001100
0x0000E65E,08001f00
0x0000E6D2,0800fd42
0x0000E6DA,0800fa06
0x0000E6E2,0800f42d
0x0000E6EA,0800f19b
0x0000E6F2,0800e712
0x0000E6FA,0800fee5
0x0000E702,0800f6e4
0x0000E70A,0800f988
0x0000E712,0800f3c5
0x0000E71A,08010100
0x0000E7B1,08000300
0x0000E7DB,08011700
0x0000E7E3,08020100
0x0000E82A,08000100
0x0000E840,08021501
0x0000E87D,08007681
0x0000E8BA,08007681
0x0000E8F9,0800e8fd
0x0000E8FD,0800ea9f
0x0000E902,08010100
0x0000E932,08000100
0x0000E973,08007681
0x0000E9B6,08007681
0x0000E9E9,08010100
0x0000EA22,08007681
0x0000EA6B,08000100
0x0000EA9F,0800eb55
0x0000EAA0,080800eb
0x0000EACA,08007681
0x0000EAFF,08006a81
0x0000EB36,08007681
0x0000EB56,08007681
0x0000EB62,08007681
0x0000EBA7,08010100
0x0000EBD9,08007681
0x0000EC07,08007681
0x0000EC17,08007681
0x0000EC45,08000100
0x0000EC71,08007681
0x0000ECB8,08007681
0x0000ECF9,08007681
0x0000ED23,08007681
0x0000ED80,08007681
0x0000EDC7,08007681
0x0000EE10,08007681
0x0000EE22,08007681
0x0000EE38,08020100
0x0000EE6C,08007681
0x0000EEA4,08000100
0x0000EEE5,08006a81
0x0000EEF3,08007681
0x0000EF03,08006a81
0x0000EF4A,08007681
0x0000EF76,08007681
0x0000EF88,08010100
0x0000EFBC,08007681
0x0000EFFD,08007681
0x0000F00B,08007681
0x0000F041,08040100
0x0000F0A4,08007681
0x0000F0D2,08000100
0x0000F117,08040301
0x0000F170,08007681
0x0000F1A3,08020200
0x0000F1E8,08020101
0x0000F1F8,08020301
0x0000F218,08007681
0x0000F25D,08007681
0x0000F2A0,08007681
0x0000F2E1,0800f353
0x0000F2E5,0800f2e5
0x0000F2E6,080800f2
0x0000F323,08020101
0x0000F354,08000016
0x0000F433,0800f7da
0x0000F43D,08010100
0x0000F47C,08000201
0x0000F490,08000100
0x0000F4DE,08020201
0x0000F510,08020100
0x0000F520,08020301
0x0000F544,08020200
0x0000F589,08007681
0x0000F5CC,08007681
0x0000F60D,0800f67f
0x0000F611,0800f611
0x0000F612,080800f6
0x0000F64F,08020101
0x0000F680,08000016
0x0000F6EA,0800f988
0x0000F6F2,08000201
0x0000F720,08000100
0x0000F761,08000100
0x0000F7B8,08000201
0x0000F7E4,08020200
0x0000F846,08007681
0x0000F872,08007681
0x0000F8B3,0800f923
0x0000F8B7,0800f8b7
0x0000F8B8,080800f8
0x0000F8F3,08020101
0x0000F924,08000016
0x0000F9E4,08007681
0x0000FA0E,08020100
0x0000FA3C,08000100
0x0000FA6E,08007681
0x0000FAB1,08007681
0x0000FAD4,08020100
0x0000FB13,08007681
0x0000FBA5,0800fba9
0x0000FBA9,0800fc86
0x0000FBAA,080800fc
0x0000FBF1,08000100
0x0000FC50,08010100
0x0000FC86,0800fd3a
0x0000FC8B,08000100
0x0000FCCA,08020100
0x0000FD17,08007681
0x0000FD86,08020100
0x0000FE02,08007681
0x0000FE66,0800ff43
0x0000FE6A,0800fe6a
0x0000FE6B,080800fe
0x0000FEED,08020100
0x0000FF1F,08007681
0x0000FF44,08000076
0x0000FF9B,08045027
0x0000FFA5,0801122d
0x0000FFAD,080107b5
0x0000FFB5,08000300
0x0000FFE9,08000201
0x00010001,08010100
0x00010025,08001f01
0x00010068,08000100
0x000100B5,08007681
0x000100F4,08040300
0x00010131,08006a81
0x0001015B,08007681
0x000101A8,08007681
0x000101D6,08000300
0x000101E4,08007681
0x0001023F,08007681
0x0001028E,08010292
0x00010292,080103f1
0x00010297,08010300
0x000102BD,08007681
0x000102D5,08000300
0x00010322,08007681
0x00010344,08010300
0x0001039F,08007681
0x000103F1,0801051a
0x000103F2,08080105
0x00010406,08007681
0x0001043D,08007681
0x0001048C,08007681
0x000104AA,08007681
0x000104BC,08007681
0x000104CA,08007681
0x0001051B,08006a81
0x00010558,08007681
0x000105B1,08010100
0x000105DB,08007681
0x00010649,08001f01
0x0001067F,08000300
0x0001068D,08007681
0x000106C8,08007681
0x00010709,08000100
